DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE,IC50_uM,sensitivity,outliers
GDSC2,343,15946332,683667,PFSK-1,SIDM01132,MB,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.13494,0.843095,0.131739,-0.548274,62.48584180748033,Low,False
GDSC2,343,15946581,684052,A673,SIDM00848,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.338772,0.86403,0.136052,-0.375847,76.61340029319184,Low,False
GDSC2,343,15946864,684057,ES5,SIDM00263,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.987309,0.833579,0.076039,-0.673159,53.90962319933537,Low,False
GDSC2,343,15947120,684059,ES7,SIDM00269,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.695754,0.806858,0.114049,-0.919794,40.27592919270477,Low,False
GDSC2,343,15947402,684062,EW-11,SIDM00203,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.379718,0.84474,0.095951,-0.341209,79.81552225388582,Low,False
GDSC2,343,15947684,684072,SK-ES-1,SIDM01111,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.503566,0.889203,0.151689,-0.236443,90.33870541661766,Low,False
GDSC2,343,15947965,687448,COLO-829,SIDM00909,SKCM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,6.300486,0.896499,0.120323,1.283624,544.8366363975238,Low,False
GDSC2,343,15948244,687452,5637,SIDM00807,BLCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.005765,0.885501,0.040077,0.188382,149.27123198336272,Low,False
GDSC2,343,15948524,687455,RT4,SIDM01085,BLCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.776385,0.886861,0.151965,-0.005658,118.67456512369056,Low,False
GDSC2,343,15948805,687457,SW780,SIDM01160,BLCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,6.676109,0.952809,0.055206,1.601374,793.2266546285178,Low,False
GDSC2,343,15949086,687459,TCCSUP,SIDM01190,BLCA,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,6.89144,0.954223,0.068714,1.783528,983.8170943019246,Low,False
GDSC2,343,15949367,687505,C-33-A,SIDM00889,CESC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.17964,0.837451,0.080757,-0.510461,65.34232574205193,Low,False
GDSC2,343,15949649,687506,C-4-I,SIDM00905,CESC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.599404,0.887341,0.071001,-0.15537,99.42504065551176,Low,False
GDSC2,343,15949929,687514,ME-180,SIDM00627,CESC,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.278277,0.838337,0.051856,-0.427021,72.11607689877746,Low,False
GDSC2,343,15950210,687561,42-MG-BA,SIDM00982,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,3.980415,0.822211,0.09456,-0.678991,53.539248405818746,Low,False
GDSC2,343,15950491,687562,8-MG-BA,SIDM00998,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.066235,0.846207,0.086814,-0.606393,58.33691013642233,Low,False
GDSC2,343,15950771,687563,A172,SIDM00799,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.496708,0.85111,0.137679,-0.242244,89.72128213918296,Low,False
GDSC2,343,15951052,687568,GB-1,SIDM00581,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,6.006786,0.90868,0.072293,1.035174,406.1757712393989,Low,False
GDSC2,343,15951333,687586,T98G,SIDM01171,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.514457,0.92616,0.094663,0.618699,248.25513810197046,Low,False
GDSC2,343,15951615,687588,U-118-MG,SIDM01193,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,6.128891,0.9162,0.085439,1.138466,458.92692839923126,Low,False
GDSC2,343,15951886,687590,U-87-MG,SIDM01189,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.651518,0.855842,0.106532,-0.111286,104.743866145062,Low,False
GDSC2,343,15952150,687592,YKG-1,SIDM00315,GBM,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,4.602078,0.861148,0.099356,-0.153109,99.6912589895093,Low,False
GDSC2,343,15952329,687596,ChaGo-K-1,SIDM00924,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.21063,0.916354,0.044216,0.361683,183.20944379302765,Low,False
GDSC2,343,15952502,687600,NCI-H720,SIDM01120,UNCLASSIFIED,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.000072,0.906844,0.109348,0.183566,148.42384523472816,Low,False
GDSC2,343,15952777,687777,Calu-3,SIDM00922,LUAD,1048,Mirin,MRE11,Genome integrity,1046,Y,0.100053,100.0,5.150899,0.855843,0.178593,0.311154,172.58657592718595,Low,False
