DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE,IC50_uM,sensitivity,outlier
GDSC2,343,15946492,683667,PFSK-1,SIDM01132,MB,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,-0.070185,0.875065,0.155409,-1.078471,0.9322213430038709,Medium,False
GDSC2,343,15946757,684052,A673,SIDM00848,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.723062,0.966021,0.131119,-0.135486,5.601654497008866,Low,False
GDSC2,343,15947043,684057,ES5,SIDM00263,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.510682,0.959611,0.083985,-0.247167,4.529819077700907,Low,False
GDSC2,343,15947296,684059,ES7,SIDM00269,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.511231,0.96038,0.051783,-0.246879,4.532306631145506,Low,False
GDSC2,343,15947578,684062,EW-11,SIDM00203,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.508022,0.94152,0.055882,-0.248566,4.517785770348239,Low,False
GDSC2,343,15947858,684072,SK-ES-1,SIDM01111,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,0.88715,0.947425,0.161026,-0.575053,2.428199412065498,Medium,False
GDSC2,343,15948138,687448,COLO-829,SIDM00909,SKCM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.203167,0.916057,0.087557,0.116978,9.053641024945906,Low,False
GDSC2,343,15948417,687452,5637,SIDM00807,BLCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.109072,0.958286,0.083951,0.067498,8.240590467242855,Low,False
GDSC2,343,15948698,687455,RT4,SIDM01085,BLCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.049202,0.984807,0.052942,0.561868,21.098501099071317,Low,False
GDSC2,343,15948979,687457,SW780,SIDM01160,BLCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.060963,0.952524,0.015377,0.0422,7.8535291184684715,Low,False
GDSC2,343,15949260,687459,TCCSUP,SIDM01190,BLCA,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.654051,0.963116,0.094034,0.354077,14.21149295105275,Low,False
GDSC2,343,15949543,687505,C-33-A,SIDM00889,CESC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.466909,0.97381,0.07884,0.255668,11.785960087771883,Low,False
GDSC2,343,15949822,687506,C-4-I,SIDM00905,CESC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.664051,0.966862,0.095276,-0.166518,5.280659525235308,Low,False
GDSC2,343,15950104,687514,ME-180,SIDM00627,CESC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.780562,0.951952,0.094018,-0.10525,5.933189934528633,Low,False
GDSC2,343,15950384,687561,42-MG-BA,SIDM00982,GBM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.768106,0.979913,0.091631,0.414053,15.928436962610155,Low,False
GDSC2,343,15950664,687562,8-MG-BA,SIDM00998,GBM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.934227,0.974636,0.116041,-0.024445,6.918693837449108,Low,False
GDSC2,343,15950945,687563,A172,SIDM00799,GBM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.323274,0.963666,0.066632,0.180137,10.209044060231237,Low,False
GDSC2,343,15951226,687568,GB-1,SIDM00581,GBM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.232005,0.963956,0.075839,0.657996,25.33039352959285,Low,False
GDSC2,343,15951509,687586,T98G,SIDM01171,GBM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.367434,0.972949,0.037697,0.203359,10.669977963125982,Low,False
GDSC2,343,15951789,687588,U-118-MG,SIDM01193,GBM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.334941,0.967387,0.081661,0.712125,28.07672664806032,Low,False
GDSC2,343,15952050,687590,U-87-MG,SIDM01189,GBM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.780598,0.969302,0.086931,0.420622,16.128663005242235,Low,False
GDSC2,343,15952251,687592,YKG-1,SIDM00315,GBM,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.832867,0.952256,0.083283,-0.077745,6.251784856381535,Low,False
GDSC2,343,15952431,687596,ChaGo-K-1,SIDM00924,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.912402,0.984514,0.059329,0.489932,18.400944595330483,Low,False
GDSC2,343,15952674,687600,NCI-H720,SIDM01120,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,0.633827,0.920403,0.081644,-0.708264,1.8848099621836016,Medium,False
GDSC2,343,15952953,687777,Calu-3,SIDM00922,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.051192,0.925873,0.088651,0.037061,7.777165965184371,Low,False
GDSC2,343,15953233,687780,COR-L23,SIDM00512,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.014378,0.946861,0.114196,0.017703,7.496063379426773,Low,False
GDSC2,343,15953515,687787,LK-2,SIDM00548,LUSC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.873667,0.950169,0.061282,-0.05629,6.512132659255259,Low,False
GDSC2,343,15953724,687794,NCI-H1437,SIDM00734,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.533827,0.949348,0.085214,-0.234997,4.6358844469264,Low,False
GDSC2,343,15953975,687798,NCI-H1623,SIDM00747,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.755712,0.944456,0.064787,-0.118317,5.7875670230390925,Low,False
GDSC2,343,15954146,687799,NCI-H1648,SIDM00746,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.479652,0.982101,0.035607,0.788222,32.448428057854514,Low,False
GDSC2,343,15954425,687800,NCI-H1650,SIDM00745,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.624499,0.941565,0.1131,0.338537,13.797659826591552,Low,False
GDSC2,343,15954706,687802,NCI-H1693,SIDM00742,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.617261,0.884896,0.115738,-0.191122,5.039268839340721,Low,False
GDSC2,343,15954916,687804,NCI-H1770,SIDM00737,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,0.640972,0.939188,0.125537,-0.704507,1.8983251548923676,Medium,False
GDSC2,343,15955055,687807,NCI-H1838,SIDM00769,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.779533,0.96593,0.024724,0.945915,43.79558442123814,Low,False
GDSC2,343,15955338,687812,NCI-H2085,SIDM00709,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.438702,0.977404,0.023071,0.766688,31.146503757199625,Low,False
GDSC2,343,15955616,687815,NCI-H2170,SIDM00716,LUSC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.806933,0.977924,0.038981,0.43447,16.55905364031219,Low,False
GDSC2,343,15955896,687816,NCI-H2228,SIDM00729,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,3.366279,0.960718,0.049335,0.728604,28.97052691748876,Low,False
GDSC2,343,15956066,687819,NCI-H2342,SIDM00727,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.724761,0.968153,0.048675,0.39126,15.252768079626737,Low,False
GDSC2,343,15956234,687820,NCI-H2347,SIDM00726,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.487809,0.917078,0.070511,0.266658,12.034878793296702,Low,False
GDSC2,343,15956515,687821,NCI-H2405,SIDM00724,LUAD,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,2.943774,0.919442,0.068136,0.506429,18.98736959578089,Low,False
GDSC2,343,15956796,687829,NCI-H661,SIDM01122,UNCLASSIFIED,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,1.81105,0.951961,0.056471,-0.089218,6.116866771597843,Low,False
GDSC2,343,15957077,687980,COR-L311,SIDM00509,SCLC,1909,Venetoclax,BCL2,Apoptosis regulation,1046,Y,0.001001,1.0,-0.13528,0.882339,0.120214,-1.112702,0.8734713054792291,Medium,False
